contract_id	contract_locus	p1_disposition	obligation_ids	corpus_loci	independent_raw_basis	pinned_successor
SC-017a	default running-scope selection	retained corpus locus	-	859	P1 list/ls outputs retain this selection except exact SC-017m unknown additions	p1-phase4-gate.md C8
SC-017b	all-view status-group selection	retained corpus locus	-	859	P1 list/ls outputs retain this selection except exact SC-017l/m unknown changes	p1-phase4-gate.md C8
SC-017c	stopped-only selection	retained corpus locus	-	859	P1 list/ls outputs retain stopped-only selection	p1-phase4-gate.md C8
SC-017d	attention filtering	retained corpus locus	-	859	P1 list/ls outputs retain captured attention filtering; unknown-filter gap is SC-521c	p1-phase4-gate.md C8
SC-017e	activity filtering	retained corpus locus	-	859	P1 list/ls outputs retain captured activity filtering; unknown-filter gap is SC-521c	p1-phase4-gate.md C8
SC-017f	JSON filter parity	retained corpus locus	-	401	P1 JSON list/ls outputs retain captured filter selection except exact SC-017m changes	p1-phase4-gate.md C8
SC-017g	attention marker selection	retained corpus locus	-	859	P1 list/ls outputs retain captured attention marker facts	p1-phase4-gate.md C8
SC-017h	human per-agent health/state/attn presentation	retained corpus locus	-	458	P1 human list/ls outputs retain non-SC-017r presentation facts	p1-phase4-gate.md C8
SC-017i	explicit running alias selection	retained corpus locus	-	859	P1 list/ls outputs retain running-scope selection except exact SC-017m additions	p1-phase4-gate.md C8
SC-017j	candidate membership and coalescence	directional gap	-	0	Batch C has no prefix-firing orientation and never captures per-session AE_SESSION ownership	p1-phase1-gate.md C5,C8,C9,C20; p1-phase2-gate.md C3-C12
SC-017k	recorded-server exact liveness	directional gap	-	0	Batch C has no non-ambient or ambiguous-recorded-server output arm	p1-phase2-gate.md C3,C6,C8,C11,C12
SC-017l	unknown session status	directional corpus locus	SC-017l	134	P1 list/ls --all rows whose case tmux.before.txt says error connecting	p1-phase4-gate.md C6,C7
SC-017m	unknown session membership and rendering	directional corpus locus	SC-017m	150	default list/ls rows in error-connecting cases plus four live selector-missing rows	p1-phase4-gate.md C6,C7
SC-017n	C-byte group/name order	directional gap	-	0	no P1 corpus ordering arm distinguishes required C-byte order from frozen incidental order	p1-phase3-gate.md C9,C10,C11
SC-017o	inventory completeness JSON field and human diagnostic	directional corpus locus	SC-017o	573	all P1 JSON list/ls outputs; human list/ls outputs in error-connecting cases	p1-phase3-gate.md C12,C13,C14; p1-phase4-gate.md C7
SC-017p	positive per-agent liveness proof	directional gap	-	0	no P1 product-valid pane-to-agent association can prove alive or dead	p1-phase4-gate.md C12
SC-017q	unknown per-agent liveness	partial corpus locus	SC-017r,SC-509e	120	120 captured unknown-health output loci carry failed-query unknown; the product-valid association matrix remains absent	p1-phase4-gate.md C12
SC-017r	human agent-health marker	directional corpus locus	SC-017r	78	error-connecting P1 human --all rows whose frozen row visibly carries an agent	p1-phase4-gate.md C7,C10
SC-017s	pane live predicate	directional gap	-	0	predicate probe exists but no P1 product-valid pane-to-agent association route reaches output	p1-phase4-gate.md C12
SC-021	ls alias equivalence	retained corpus locus	-	116	all P1 ae ls outputs remain exact except its inherited directional obligations	p1-phase4-gate.md C8
SC-400d	canonical and legacy durable-root membership	directional gap	-	0	no legacy worktree-nested state layout occurs in Batch C	p1-phase1-gate.md C2
SC-506	partial-failure JSON validity	retained corpus locus	-	401	all P1 JSON list/ls outputs retain valid object structure around directional fields	p1-phase4-gate.md C8,C9
SC-405l	selector normalization	input carrier	SC-017l,SC-017m	0	no separate P1 output key; its missing/ambiguous result feeds SC-017l/m	p1-phase1-gate.md C11,C23; p1-phase4-gate.md C6
SC-509	generated_at field presence/type	retained corpus locus	-	401	all P1 JSON list/ls outputs contain the SC-509 object; retained fields are compared outside this directional table	p1-phase4-gate.md C8,C9
SC-509	generated_at VALUE	underdetermined value locus	-	401	SC-509 requires generated_at but fixes no timestamp value; exact clock bytes are deliberately not a directional obligation	p1-phase2-gate.md C17; p1-phase3-gate.md C3; p1-phase4-gate.md C8,C18
SC-509	other retained version-1 object fields	retained corpus locus	-	401	all P1 JSON list/ls outputs; no contract-authorized directional change apart from SC-509b/d/e, SC-509c, and SC-017o	p1-phase4-gate.md C8,C9
SC-509b	degraded true after actual metadata read/parse loss	directional corpus locus	SC-509b	14	20 raw G3/A9 P1 JSON inputs with metadata loss (UNREADABLE or FILE ABSENT) coalesce to 14 captured sessions[].degraded output loci	p1-phase2-gate.md C13; p1-phase4-gate.md C7,C9
SC-509c	agents[].reason agent-owned active contribution	directional corpus locus	SC-509c	222	raw self-declared state and current target-named alert carriers identify 222 session-and-agent reason loci	p1-phase4-gate.md C7,C9
SC-509d	schema_version	directional corpus locus	SC-509d	401	all P1 JSON list/ls outputs	p1-phase4-gate.md C7,C9
SC-509e	agents[].alive nullable domain	directional corpus locus	SC-509e	42	error-connecting P1 JSON --all outputs with a nonempty frozen agents array	p1-phase4-gate.md C7,C10
SC-518	requests closure presentation	retained corpus locus	-	168	all P1 helper:requests outputs remain exact; SC-518 has no ratified directional P1 change	p1-phase4-gate.md C8
SC-521c	unknown attention/activity filtering	directional gap	-	0	Batch C has no unknown session combined with attention/activity filter arm	p1-phase3-gate.md C6,C7,C8
SC-1306a	list snapshot cut	retained corpus locus	-	743	all P1 ae list outputs retain the captured snapshot result	p1-phase4-gate.md C8
SC-1306d	requests snapshot cut	retained corpus locus	-	168	all P1 helper:requests outputs retain the captured snapshot result	p1-phase4-gate.md C8
SC-1306e	events-tail snapshot cut	retained corpus locus	-	38	all P1 helper:events-tail outputs retain the captured snapshot result	p1-phase4-gate.md C8
