# format	p1-phase4-published-fingerprints-v1
# corpus_root_sha256	802c882bca64453e33efce5351e43b5954ddecc3daed6c2b0b6c8833487b4e12
# algorithm_path	docs/migration/evidence/p1-phase4-published-fingerprints-algorithm.md
# algorithm_git_blob	d78ee392e946e1f0a658843656819dee88fb7f61
# source_root	docs/migration/evidence/batch-c-artifacts/templates
# committed_treeish	HEAD
# member_count	70
# git_tree_id_role	reproducibility anchor and exec-coverage carrier
# canonical_sha256_role	mode-free scratch-comparison grain the runner recomputes
# canonical_entry_grammar	kind NUL payload NUL relative_path NUL; entries sorted by raw relative-path bytes
# directories	implied by tracked leaf paths; not manifest entries
source_path	entry_count	git_tree_id	canonical_sha256
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510b-empty-vs-omitted	7	dec52bb98971d828581821c051bceca1b8c0aafe	509bf631e47f36b277159fbc3ffa7f345ada5176c34f1190ca855a5a91ad97f3
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510c-recover-ref	4	a9c8b8a2b21d49b8f3726dacb1bce1a5ba320e32	d820478f3e12ff702be164514e50b236c74e0d5eae4b76540da1a0d64cc75477
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510e-dupkey-known	6	879fbd0a4cbd49f241bf95ae146f7052333fb3a3	cc92b9a606e0175713c867db6a8e7e929ba8cb98c943122bf89f943522777acf
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510e-dupkey-known-reversed	6	e499d1dbe11ae0ada0701a0ebc5014fb72e0a92b	e3282f1009c077ba2ce903becc7f5ac6819c4788b124be4bd8cd2e566a5b491d
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510f-dupkey-unknown	6	b5b35b59b3d1b3d20bfebf7606664f0f989def1c	008102c5eae3393dda78b6a067a215193b2979f04d405027816e3925d2031a70
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510f-dupkey-unknown-reversed	6	749defca585b104a07f7c7f924d6e0f6cefd3c78	c5736f196806d81ebb30417f98ffb306bf9acb237c0e18b3d3f493e5083acc2e
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/511a-omitted-routing	4	74658899727233e8e670a11bd1919c927e4978b5	3463022d2d44c56496711579964c705274871c2ce1788aa68779862525621393
docs/migration/evidence/batch-c-artifacts/templates/A2/fixture-bytes/composite	30	7aea088aac3d005f743345f5f2a0c66823de44d2	1e42ebc5ca4ba08f61d6ad318df01bb5f90e8387c509501c1a14a93aa58ee616
docs/migration/evidence/batch-c-artifacts/templates/A3/fixture-bytes/017g-unanswered-vs-agent-owned	4	e861e24d6644c7745729ced6e8e0afc0fdbee36a	80dde3d5113af5bf18294cbf24c4b81ac30cbf19d0f8936484ea56d570f410a2
docs/migration/evidence/batch-c-artifacts/templates/A3/fixture-bytes/524a-future-ts-ordinary-mtime	6	292bbefd0a0c3e960b5bb2026550a84e844e454d	a399c2635d75d02592a18167beab238d040bddbd480ad3d7c838a296a1eb91e0
docs/migration/evidence/batch-c-artifacts/templates/A3/fixture-bytes/524b-ordinary-ts-future-mtime	6	103b1d384d2a5c94f166d46d9b6847f1c78905ba	039cf726f8d2c7b25d17d012115024a3018583ad89220106289865260ecaeda8
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/competing-noclear	4	5fd1028b534316aba5cc9d8ef8449f3dcee57fc5	6b715465bace0348db6077305c4f87c5e8c2c9c4fc6fd33fc67e44c809e701fb
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/pair-blocked-over-throttled	3	f6500a9184d51ac31e43662c6afc979d975b0853	ca26d9aabfdbc866264949b5a4133aefa034fbee4fb01e97798830f874f8a85e
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/pair-dead-over-stale	5	7ae6aa29c57d42f2abace35c6744bfe76cd36191	dff37f1113a0a1bc480a4547c63cac49a8f91e1463bf78de6c5fc7d0459b50f0
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/pair-stale-over-waitinguser	5	502014e3abe58f2333c4dd991be73879cd6cad74	b1e177184768c9e0bdc7bc6f609d7490323728968bc8706d86064a04c73d12bd
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/pair-throttled-over-unanswered	4	a17e4cbaf9b48b1198a81399d79ebc7aab64c538	1a6c14ee7d3d78cab97f2fd308568390bf06f28e38bb11e30ab7d0c502268941
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/pair-waitinguser-over-blocked	3	76096f78c7cc1bf0cf280e896ae139a3e39533f7	dacf8fe9a09d1a8084cea62fb7d2f8c4b9e31ca1ecad2473ae578829985f4763
docs/migration/evidence/batch-c-artifacts/templates/A5/fixture-bytes/doctor-fixture	3	fc213a51f1d431a21ae049f1fadd42e13c38ecee	9a07d53f849c712e270e3810d65a518e49790e81060de7f7eb21890d71a10b7b
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-all-empty-members	4	f57ab80befcc18bdeacf14501dce0d960d93c23b	f3a682e8f70fe872e9d18c30dda823939ddeac46839b0e2ce2ef418e67aa9366
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-full-fresh	4	bc15393f0c59243f43d53e700a1802b659e1e3f7	8bf16fc30917525df0508e3473fd007bf5d14d34c4539fbdcd61b9b19a4c7715
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-keyless-legacy	4	c0f340970e9d5d00047384a85604f7c5ede7879d	75163c7d42f0cec399d6f53c00a3b100548b2b6929e5ce6017a2d4524d2c4db3
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-one-empty-member	4	624ae2effc043bb2e26af09bd52fd44860ee0a6d	952c24ee45cca3e550488193bc100f65867ebd119ff6877719c8066f49bcf5ce
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-session-only	4	6a875ef6df297a7ab10684968cf304fa17f92c3b	1806f41c31329ba4e31867c234a49dc1b06d054d47c431a2fed96ad709ddb7bb
