2026-08-20T19:05:11Z	setup	arm	t100-C-waiting-user
2026-08-20T19:05:11Z	setup	knobs	INTERVAL=5 STALE_MIN=1 QUIET_SETTLE_BEAT=1 QUIET_SETTLE=4 QUIET_STABILIZE_PER_CYCLE=4 MAX_NUDGES=2
2026-08-20T19:05:18Z	setup	launch.rc	1
2026-08-20T19:05:18Z	setup	agent.pane	%0
2026-08-20T19:05:18Z	setup	agent.ref	grok:grok
2026-08-20T19:05:18Z	setup	scrubber.sha256	96315e4eb3ec56fc71b4e04366f7a13b4650f44022b950e0fa021d8b283eb4de
2026-08-20T19:05:18Z	ctl0	pane.raw.bytes	130
2026-08-20T19:05:18Z	ctl0	pane.raw.sha256	b4d9356435690ee0b97330f0edbe588edde1d56985b7b7588143279fa21a47a8
2026-08-20T19:05:18Z	ctl0	scrubbed.hash	bd622ebe44789e545008bac969464aa5
2026-08-20T19:05:18Z	ctl	write.tty	/dev/ttys028
2026-08-20T19:05:18Z	ctl	write.text	INSTRUMENT-CONTROL-MARKER-82841
2026-08-20T19:05:19Z	ctl1	pane.raw.bytes	161
2026-08-20T19:05:19Z	ctl1	pane.raw.sha256	faad93ebafc74b4ad15180d1c4af02e5865ad22207decb03e72788eec21fca7e
2026-08-20T19:05:19Z	ctl1	scrubbed.hash	b0270b6db3183defd9852307777fe1ee
2026-08-20T19:05:19Z	control	plain-write.hash.before	bd622ebe44789e545008bac969464aa5
2026-08-20T19:05:19Z	control	plain-write.hash.after	b0270b6db3183defd9852307777fe1ee
2026-08-20T19:05:19Z	control	plain-write.registered	YES
2026-08-20T19:05:19Z	control	base.stripped.hash	b0270b6db3183defd9852307777fe1ee
2026-08-20T19:05:19Z	control	nudge-shaped.hash	b0270b6db3183defd9852307777fe1ee
2026-08-20T19:05:19Z	control	nudge-shaped.registered	NO
2026-08-20T19:05:19Z	yield	write.tty	/dev/ttys028
2026-08-20T19:05:19Z	yield	write.text	FORCED-INITIAL-YIELD-MARKER-82841
2026-08-20T19:05:19Z	yield	write.done	a marker is written to the observed pane so it demonstrably CHANGES before the declaration
2026-08-20T19:05:19Z	settle0	pane.raw.bytes	194
2026-08-20T19:05:19Z	settle0	pane.raw.sha256	f69000df58d552b0569e45f6717fc9ee5139777713d74fdfe44e12e1c3a9c1ea
2026-08-20T19:05:19Z	settle0	scrubbed.hash	c59fd2728e30753192f6e11658bb824a
2026-08-20T19:05:20Z	settle1	pane.raw.bytes	194
2026-08-20T19:05:20Z	settle1	pane.raw.sha256	f69000df58d552b0569e45f6717fc9ee5139777713d74fdfe44e12e1c3a9c1ea
2026-08-20T19:05:20Z	settle1	scrubbed.hash	c59fd2728e30753192f6e11658bb824a
2026-08-20T19:05:20Z	yield	settle.samples	1
2026-08-20T19:05:20Z	yield	settle.hash	c59fd2728e30753192f6e11658bb824a
2026-08-20T19:05:20Z	t0-pre-declaration	pane.raw.bytes	194
