case	rows	group	member
c01-healthy	SC-509,SC-509b,SC-510a	G1	healthy
c02-meta-mode-000	SC-506	G3	meta-mode-000
c03-malformed-line	SC-506,SC-509b	G3	malformed-complete-line
c04-empty-vs-omitted	SC-510b	A1	510b-empty-vs-omitted
c05-recover-ref	SC-510c	A1	510c-recover-ref
c06-escapes	SC-510d	G11	escapes
c07-dupkey-known	SC-510e	A1	510e-dupkey-known
c08-dupkey-known-rev	SC-510e	A1	510e-dupkey-known-reversed
c09-dupkey-unknown	SC-510f	A1	510f-dupkey-unknown
c10-dupkey-unknown-rev	SC-510f	A1	510f-dupkey-unknown-reversed
c11-routing-known	SC-511a,SC-511b	G5	m1-control
c12-routing-omitted	SC-511a	A1	511a-omitted-routing
c13-same-display-routing	SC-511b	G10	same-display-diff-routing
c14-display-only-legacy	SC-511b	G10	display-only-legacy
c15-meta-unknown-keys	SC-509,SC-509b	G7	meta-unknown-keys
c16-events-unknown-keys	SC-509b,SC-510a	G7	events-unknown-keys
c17-unknown-action	SC-509b,SC-510a	G7	events-unknown-action
c18-no-trailing-newline	SC-509b	G8	no-trailing-newline
c19-partial-tail	SC-509b	G8	partial-trailing-record
c20-405k	SC-405k	live	no-template (live 2-agent launch + two named topology manipulations)
