citation	class	resolved_base	expansions	first_resolution
*date-shim-invocations.log	wildcard	groupmeta-rel	13	templates/A3/_meta/017g.date-shim-invocations.log
/bin/date	path	tree	1	/bin/date
/bin/zsh	path	tree	1	/bin/zsh
/opt/homebrew/bin/bash	path	tree	1	/opt/homebrew/bin/bash
/opt/homebrew/bin/tmux	path	tree	1	/opt/homebrew/bin/tmux
/tmp	path	tree	1	/tmp
/tmp/aecx/bin/aefake	path	tree	1	/tmp/aecx/bin/aefake
/tmp/aecx/twd/a1/cap/events.final.jsonl	path	tree	1	/tmp/aecx/twd/a1/cap/events.final.jsonl
/tmp/aecx/twd/a2/cap/events.final.jsonl	path	tree	1	/tmp/aecx/twd/a2/cap/events.final.jsonl
/tmp/aecx/twd/a3/cap/events.final.jsonl	path	tree	1	/tmp/aecx/twd/a3/cap/events.final.jsonl
<GROUP>/<member>	wildcard	tree	42	arms/A1
<group>/_meta/<member>.modes.tsv	wildcard	templates	69	A1/_meta/510b-empty-vs-omitted.modes.tsv
<group>/_meta/<member>.mutation.txt	wildcard	templates	36	A1/_meta/510e-dupkey-known-reversed.mutation.txt
<group>/_meta/<member>.txt	wildcard	templates	108	A1/_meta/510b-empty-vs-omitted.txt
<group>/_meta/shim-inactive-equivalence.*.txt	wildcard	templates	3	G2/_meta/shim-inactive-equivalence.g2un.txt
<group>/fixture-bytes/<member>/	wildcard	templates	69	A1/fixture-bytes/510b-empty-vs-omitted/
A1/510b-empty-vs-omitted	mapping	templates	1	templates/A1/fixture-bytes/510b-empty-vs-omitted
A1/510c-recover-ref	mapping	templates	1	templates/A1/fixture-bytes/510c-recover-ref
A1/510e-dupkey-known	mapping	templates	1	templates/A1/fixture-bytes/510e-dupkey-known
A1/510e-dupkey-known-reversed	mapping	templates	1	templates/A1/fixture-bytes/510e-dupkey-known-reversed
A1/510f-dupkey-unknown	mapping	templates	1	templates/A1/fixture-bytes/510f-dupkey-unknown
A1/510f-dupkey-unknown-reversed	mapping	templates	1	templates/A1/fixture-bytes/510f-dupkey-unknown-reversed
A1/511a-omitted-routing	mapping	templates	1	templates/A1/fixture-bytes/511a-omitted-routing
A1/harness/	path	arms	1	arms/A1/harness/
A1/ledger.tsv	path	arms	1	arms/A1/ledger.tsv
A2/composite	mapping	templates	1	templates/A2/fixture-bytes/composite
A2/harness/	path	arms	1	arms/A2/harness/
A2/ledger.tsv	path	arms	1	arms/A2/ledger.tsv
A3/017g-unanswered-vs-agent-owned	mapping	templates	1	templates/A3/fixture-bytes/017g-unanswered-vs-agent-owned
A3/524a-future-ts-ordinary-mtime	mapping	templates	1	templates/A3/fixture-bytes/524a-future-ts-ordinary-mtime
A3/524b-ordinary-ts-future-mtime	mapping	templates	1	templates/A3/fixture-bytes/524b-ordinary-ts-future-mtime
A3/harness/	path	arms	1	arms/A3/harness/
A3/ledger.tsv	path	arms	1	arms/A3/ledger.tsv
A3b/competing-noclear	mapping	templates	1	templates/A3b/fixture-bytes/competing-noclear
A3b/harness/	path	arms	1	arms/A3b/harness/
A3b/ledger.tsv	path	arms	1	arms/A3b/ledger.tsv
A3b/pair-blocked-over-throttled	mapping	templates	1	templates/A3b/fixture-bytes/pair-blocked-over-throttled
A3b/pair-dead-over-stale	mapping	templates	1	templates/A3b/fixture-bytes/pair-dead-over-stale
A3b/pair-stale-over-waitinguser	mapping	templates	1	templates/A3b/fixture-bytes/pair-stale-over-waitinguser
A3b/pair-throttled-over-unanswered	mapping	templates	1	templates/A3b/fixture-bytes/pair-throttled-over-unanswered
A3b/pair-waitinguser-over-blocked	mapping	templates	1	templates/A3b/fixture-bytes/pair-waitinguser-over-blocked
A4/harness/	path	arms	1	arms/A4/harness/
A4/ledger.tsv	path	arms	1	arms/A4/ledger.tsv
A5/doctor-fixture	mapping	templates	1	templates/A5/fixture-bytes/doctor-fixture
A5/harness/	path	arms	1	arms/A5/harness/
A5/ledger.tsv	path	arms	1	arms/A5/ledger.tsv
A6/harness/	path	arms	1	arms/A6/harness/
A6/ledger.tsv	path	arms	1	arms/A6/ledger.tsv
A7/branch-two-sources	mapping	templates	1	templates/A7/fixture-bytes/branch-two-sources
A7/goal-order-agreeing	mapping	templates	1	templates/A7/fixture-bytes/goal-order-agreeing
A7/goal-order-opposed	mapping	templates	1	templates/A7/fixture-bytes/goal-order-opposed
A7/goal-order-single	mapping	templates	1	templates/A7/fixture-bytes/goal-order-single
A7/harness/	path	arms	1	arms/A7/harness/
A7/ledger.tsv	path	arms	1	arms/A7/ledger.tsv
A7/meta-duplicate-key	mapping	templates	1	templates/A7/fixture-bytes/meta-duplicate-key
A7/meta-multi-equals	mapping	templates	1	templates/A7/fixture-bytes/meta-multi-equals
A7/pair-405j-all-empty	mapping	templates	1	templates/A7/fixture-bytes/pair-405j-all-empty
A7/pair-405j-full-fresh	mapping	templates	1	templates/A7/fixture-bytes/pair-405j-full-fresh
A7/pair-405j-keyless	mapping	templates	1	templates/A7/fixture-bytes/pair-405j-keyless
A7/pair-405j-one-empty	mapping	templates	1	templates/A7/fixture-bytes/pair-405j-one-empty
A7/pair-405j-session-only	mapping	templates	1	templates/A7/fixture-bytes/pair-405j-session-only
A7/pair-405j-slot-only	mapping	templates	1	templates/A7/fixture-bytes/pair-405j-slot-only
A7/pair-405j-stale-keys	mapping	templates	1	templates/A7/fixture-bytes/pair-405j-stale-keys
D/d02-pending-with-harvested-reply	mapping	templates	1	templates/D/fixture-bytes/d02-pending-with-harvested-reply
D/d03-31-numbered-events	mapping	templates	1	templates/D/fixture-bytes/d03-31-numbered-events
D/harness/	path	arms	1	arms/D/harness/
D/ledger.tsv	path	arms	1	arms/D/ledger.tsv
FINGERPRINTS.superseded-pre-locale-fix.tsv	path	templates	1	templates/FINGERPRINTS.superseded-pre-locale-fix.tsv
FINGERPRINTS.tsv	path	templates	1	templates/FINGERPRINTS.tsv
G1/healthy	mapping	templates	1	templates/G1/fixture-bytes/healthy
G10/display-only-legacy	mapping	templates	1	templates/G10/fixture-bytes/display-only-legacy
G10/same-display-diff-routing	mapping	templates	1	templates/G10/fixture-bytes/same-display-diff-routing
G11/escapes	mapping	templates	1	templates/G11/fixture-bytes/escapes
G2/blocked	mapping	templates	1	templates/G2/fixture-bytes/blocked
G2/dead	mapping	templates	1	templates/G2/fixture-bytes/dead
G2/stale	mapping	templates	1	templates/G2/fixture-bytes/stale
G2/throttled	mapping	templates	1	templates/G2/fixture-bytes/throttled
G2/unanswered	mapping	templates	1	templates/G2/fixture-bytes/unanswered
G2/waiting-user	mapping	templates	1	templates/G2/fixture-bytes/waiting-user
G2b/competing	mapping	templates	1	templates/G2b/fixture-bytes/competing
G3/malformed-complete-line	mapping	templates	1	templates/G3/fixture-bytes/malformed-complete-line
G3/meta-mode-000	mapping	templates	1	templates/G3/fixture-bytes/meta-mode-000
G5/m1-control	mapping	templates	1	templates/G5/fixture-bytes/m1-control
G5/m2-wrong-ref	mapping	templates	1	templates/G5/fixture-bytes/m2-wrong-ref
G5/m3-wrong-actor	mapping	templates	1	templates/G5/fixture-bytes/m3-wrong-actor
G5/m4-wrong-target	mapping	templates	1	templates/G5/fixture-bytes/m4-wrong-target
G5/m5-routed-vs-routed-mismatch	mapping	templates	1	templates/G5/fixture-bytes/m5-routed-vs-routed-mismatch
G5/m6-mixed-routed-display	mapping	templates	1	templates/G5/fixture-bytes/m6-mixed-routed-display
G7/events-unknown-action	mapping	templates	1	templates/G7/fixture-bytes/events-unknown-action
G7/events-unknown-keys	mapping	templates	1	templates/G7/fixture-bytes/events-unknown-keys
G7/meta-unknown-keys	mapping	templates	1	templates/G7/fixture-bytes/meta-unknown-keys
G8/no-trailing-newline	mapping	templates	1	templates/G8/fixture-bytes/no-trailing-newline
G8/partial-trailing-record	mapping	templates	1	templates/G8/fixture-bytes/partial-trailing-record
G9/goals-distinct-ts	mapping	templates	1	templates/G9/fixture-bytes/goals-distinct-ts
NOTE-arm.sh-revision.txt	context	twdarm-rel	1	twd-precursor/harness/NOTE-arm.sh-revision.txt
PATH-CITES.tsv	path	tree	1	PATH-CITES.tsv
