case_dir	ledger_sha256	ledger_lines	files
c01-dead-ro	3731f07589c5b40a15c331e98418a84ac794727d29d49ef5e6cdf50e67125834	35	33
c01-dead-rw	89a0ff87a3aab4a38359d900439ce87e1def31dd6ce0445f9a4541ad784db154	35	33
c02-stale-ro	d9cfed2f69024af1d8d2b06238306eb5142ed2dbb0bfad6542b1d8bfb60a2f0b	35	33
c02-stale-rw	d7a1df4d3f67479afa6cb7be2ecef42933020f9c09216dbbf4d0cbf4c84d9b9e	35	33
c03-throttled-ro	f81818fb244cb20046e34cc73d30995d3df0512f6f9f0bf05c9e6162e583ab8e	35	33
c03-throttled-rw	a4829c1221997236611133c61418ca8265d1744c8cea11405bb264ea587ed4eb	35	33
c04-waiting-user-ro	03ad541323fae302a63141ded5f681b1117e3e86de3f0a4938ea94be8720aaf9	35	33
c04-waiting-user-rw	2a69faabd42e41540f3fd07872119a78b075ab15d96c09d1a1fbabd65eb78c6a	35	33
c05-blocked-ro	fa25ea261dc7e7250f0d4ef2f56796a4e6c1e66827e0a2e93921664ecc54f356	35	33
c05-blocked-rw	e6aa3a34fdc127fc90ab3d26be3ec74f25aa36d8574e4cb5fe7505fbd65ec2f2	35	33
c06-unanswered-ro	37c7a7cc27253849ef56320e1d4538377232c9341a17a18d39f845738db7610b	35	33
c06-unanswered-rw	fb3924c9a3c348722ae521d7dea6c117a6a1bd5550b356f29e3667a9d39a5680	35	33
c07-competing-ro	0d80c55f455ee937b738afcdb682591e3c8d28c9e23761c6a053c582e5caa953	35	33
c07-competing-rw	21ab0c496fc59068fc7fc160a539ebb996097913d693fa2a82dac3da59076ebc	35	33
c08-unanswered-vs-agent-owned-ro	a73aac30ccb87d5dbc237d0eb1bf6805857ad18f8d07a7336280efd41d4e5a9f	35	33
c08-unanswered-vs-agent-owned-rw	d98d804f525da462305d77daa9f54455f6ff09bd487a3cb18f910d765b66c376	35	33
c09-524a-future-ts-ordinary-mtime-ro	56a1e7966f7da24bc65a1b97a0c54a87a37969b712cdde2fc428e371f74f0c34	35	34
c09-524a-future-ts-ordinary-mtime-rw	ad2d4d481a40a675366b4be84dfbeff5f2e912ec7f322dfcfc1d78788ebb12e3	35	34
c10-524b-ordinary-ts-future-mtime-ro	de0647fa2ae08dc25f6d79310f3f0f4dbb8c6bf9b856dd543e400c176aed489c	35	34
c10-524b-ordinary-ts-future-mtime-rw	60923d6fb2d912f2414b29032ae3eccfa65cc8608cca2fc94c099acc3a0e0008	35	34
