30386203	1787257322	62	./.a8-witness-probe-content
30386202	1787257322	71	./.a8-witness-probe-rewrite
30386061	1787257319	126	./config
30386127	1787257320	128	./sessions
30386128	1787257320	0	./sessions/.lifecycle.ta8a8c04useexisting.lock
30386132	1787257321	928	./sessions/ta8a8c04useexisting
30386138	1787257320	38617	./sessions/ta8a8c04useexisting/_lib
30386157	1787257320	4618	./sessions/ta8a8c04useexisting/_register-sid
30386151	1787257320	1190	./sessions/ta8a8c04useexisting/agents
30386140	1787257320	452	./sessions/ta8a8c04useexisting/ask
30386158	1787257320	2876	./sessions/ta8a8c04useexisting/events-tail
30386152	1787257320	555	./sessions/ta8a8c04useexisting/focus
30386148	1787257320	1247	./sessions/ta8a8c04useexisting/goal
30386153	1787257320	1447	./sessions/ta8a8c04useexisting/interrupt
30386162	1787257320	78	./sessions/ta8a8c04useexisting/launch.main.sh
30386164	1787257321	78	./sessions/ta8a8c04useexisting/launch.worker.0.sh
30386160	1787257320	158	./sessions/ta8a8c04useexisting/loop
30386145	1787257320	200	./sessions/ta8a8c04useexisting/mark-done
30386147	1787257320	2291	./sessions/ta8a8c04useexisting/memo
30386137	1787257320	601	./sessions/ta8a8c04useexisting/meta
30386134	1787257320	0	./sessions/ta8a8c04useexisting/meta.lock
30386150	1787257320	73	./sessions/ta8a8c04useexisting/peak
30386149	1787257320	707	./sessions/ta8a8c04useexisting/peek
30386142	1787257320	3175	./sessions/ta8a8c04useexisting/reply
30386143	1787257320	8092	./sessions/ta8a8c04useexisting/requests
30386156	1787257320	1028	./sessions/ta8a8c04useexisting/retire
30386141	1787257320	801	./sessions/ta8a8c04useexisting/review
30386146	1787257320	873	./sessions/ta8a8c04useexisting/say
30386139	1787257320	2770	./sessions/ta8a8c04useexisting/send
30386155	1787257320	930	./sessions/ta8a8c04useexisting/spawn
30386144	1787257320	1560	./sessions/ta8a8c04useexisting/state
30386159	1787257320	46130	./sessions/ta8a8c04useexisting/watchdog
30386161	1787257320	9700	./sessions/ta8a8c04useexisting/workspace.md
