# EXPLANATORY ONLY — NOT AUTHORITY. Every row here has a matching UNSCORABLE
# obligation in OBLIGATIONS.tsv, and the gate enforces TWO-WAY equality between
# the two sets. This file exists to carry the reasoning at length; the DENOMINATOR
# is the table, because C3/C5/C16 reconcile to the obligation inventory and an
# external file is neither the inventory nor a criterion-1 pinned input.
case	consumer	locus	why
arms/A1/c01-healthy-ro	list-all-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c01-healthy-ro	list-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c01-healthy-rw	list-all-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c01-healthy-rw	list-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c02-meta-mode-000-ro	list-all-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c02-meta-mode-000-ro	list-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c02-meta-mode-000-rw	list-all-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c02-meta-mode-000-rw	list-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c03-malformed-line-ro	list-all-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c03-malformed-line-ro	list-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c03-malformed-line-rw	list-all-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c03-malformed-line-rw	list-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c04-empty-vs-omitted-ro	list-all-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c04-empty-vs-omitted-ro	list-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c04-empty-vs-omitted-rw	list-all-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c04-empty-vs-omitted-rw	list-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c05-recover-ref-ro	list-all-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c05-recover-ref-ro	list-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
arms/A1/c05-recover-ref-rw	list-all-json	inventory_complete (value)	no captured connect failure names a session's RECORDED server, so no independently entitled enumeration is shown to have finally failed; ambient entitlement turns on the AE_TMUX_SERVER selection SC-1410c leaves unclassified
