2026-08-20T19:38:39Z	setup	arm	D4
2026-08-20T19:38:52Z	dfl	harness.rc	0
2026-08-20T19:38:52Z	dfl	record	exited=True code=141 signalled=False sig=None
2026-08-20T19:39:04Z	ign	harness.rc	0
2026-08-20T19:39:04Z	ign	record	exited=True code=1 signalled=False sig=None
2026-08-20T19:39:16Z	inherit	harness.rc	0
2026-08-20T19:39:16Z	inherit	record	exited=True code=1 signalled=False sig=None
# SIGPIPE disposition handed to the producer, and what the SAME capture reported.
# Generated from the sigpipe-record.*.json files.

mode       disposition the harness set before exec        exited     code       signalled    signal
dfl        SIG_DFL — explicitly reset by the harness      True       141        False        None
ign        SIG_IGN — DELIBERATELY LEAKED by the harness   True       1          False        None
inherit    not set at all — whatever the harness had      True       1          False        None
2026-08-20T19:39:16Z	ability	leaked.detected	YES
