case	rows	group	member
a7-c01-meta-multi-equals	SC-405a	A7	meta-multi-equals
a7-c02-meta-duplicate-key	SC-405a,SC-405d	A7	meta-duplicate-key
a7-c03-meta-unknown-keys	SC-405b,SC-405c	G7	meta-unknown-keys
a7-c04-healthy-baseline	SC-405b,SC-405c	G1	healthy
a7-c05-meta-mode-000	SC-405e	G3	meta-mode-000
a7-c06-goal-order-opposed	SC-405f	A7	goal-order-opposed
a7-c07-goal-order-agreeing	SC-405f	A7	goal-order-agreeing
a7-c08-goal-order-single	SC-405f	A7	goal-order-single
a7-c09-goals-distinct-ts	SC-405f	G9	goals-distinct-ts
a7-c10-branch-live	SC-405g	A7	branch-two-sources
a7-c11-branch-stopped	SC-405g	A7	branch-two-sources
a7-c12-405j-pair-full-fresh	SC-405j	A7	pair-405j-full-fresh
a7-c13-405j-pair-stale-keys	SC-405j	A7	pair-405j-stale-keys
a7-c14-405j-pair-slot-only	SC-405j	A7	pair-405j-slot-only
a7-c15-405j-pair-session-only	SC-405j	A7	pair-405j-session-only
a7-c16-405j-pair-keyless	SC-405j	A7	pair-405j-keyless
a7-c17-405j-pair-one-empty	SC-405j	A7	pair-405j-one-empty
a7-c18-405j-pair-all-empty	SC-405j	A7	pair-405j-all-empty
