arm	validator-taxonomy-d-file-0644-purge
section	L-PURGE
roster_ids	SC-804f SC-818c
fixture	REAL archive produced in THIS sandbox by a real frozen end cut at a barrier; the arm mutation is applied afterwards and diffed
construction	the archive member meta's mode is changed 0600 -> 0644 (a NAMED mode mutation, deliberate here); this clone drives the purge path ONLY
template_uuid	35137481-af5c-4134-9485-addeab5780bb
binary	84f68ac8f14bd9686d34a9153eaafbce575e6a4066e0d44c258423c9a9300f18
case	d-file-0644
side	purge
mutation_target	meta
op	ae end -f --purge-history pg
op_rc	1
also_covers	SC-818c (post-state manifests of the archive root and the session state after the attempt)
