CHOICE_ID	AUTHORITY	SURFACE	SCOPE_KEY	EXCLUDED_COMPARISON_LOCUS	STILL_REQUIRED
OC-P2-SEMANTIC-FALSE-PRESENCE	SC-509b + p1-phase2-gate.md criterion 13	JSON stdout	digest_all	Presence versus omission of the degraded member only when a fixed pre-successor fact supplies semantic false	The fixed supplied degradation value is unchanged; degraded true is present and true; no other member presence or value changes
OC-P3-GENERATED-AT	SC-509 + SC-510a + p1-phase3-gate.md criterion 3	JSON stdout	digest_all	Exact generated_at value	Exactly one valid SC-510a timestamp; no selection/status/filter/order effect
OC-P3-HUMAN-LAYOUT	SC-017h + p1-phase3-gate.md criterion 15	Human stdout	human_list_all	Headers, columns, widths, colour, and whitespace	Semantic session and agent rows, field values, membership, and order
OC-P3-HUMAN-DIAGNOSTIC	SC-017o + p1-phase3-gate.md criteria 12 and 15	Human stderr and rc	human_incomplete_observed	Diagnostic wording, path detail, and scalar process rc	Diagnostic presence and the exact distinct logical-source loss count
OC-P3-JSON-WARNING	SC-017o + p1-phase3-gate.md criteria 13 and 15	JSON stderr	digest_all	Only the stderr span independently calibrated by an opposed completeness flip as the inventory-completeness warning; its presence, wording, and path detail	The JSON document and process rc; exactly one boolean inventory_complete field with its independently supported value; excluded warning spans appear only in the incomplete arm; every fixed-complete row has empty stderr
OC-P3-AGENT-HEALTH-TOKEN	SC-017r	Human stdout	human_agent_health_cells	Literal alive/dead/unknown token or glyph	Three distinct nonempty semantic health renderings; no effect on any other cell
OC-P3-EQUAL-NAME-TIE	SC-017n + p1-phase3-gate.md criteria 9 and 15	Human and JSON order	equal_name_ties	Relative order inside that exact tie only	Every identity and semantic row exactly once; all non-tied C-byte and status-group order
OC-P3-JSON-FIELD-ORDER	SC-509 + p1-phase3-gate.md criterion 15	JSON stdout	json_objects_all	Ordering of members within each JSON object	The same members and values after applying the exact member-presence exclusions registered elsewhere; array membership and order remain required
OC-P3-MACHINE-LOSS-RECORDS	SC-017o + p1-phase3-gate.md criteria 13 and 15	JSON stdout	digest_all	Successor-only JSON member subtrees proved to project only the snapshot's distinct FailedSource facts, including those members' presence, schema, values, and order	Exactly one boolean inventory_complete; no effect on sessions membership, retained fields, or sessions order; every excluded concrete JSON Pointer is enumerated and loss-flip calibrated before comparison
OC-P4-BRANCH-VALUE	SC-405g temporary exception (semantic-contract.md) + colead fresh-binary measurement 2026-08-25	JSON stdout	digest_all	Exact sessions[<name>].branch VALUE bytes on the fixed contract-derived digest VALUE set: frozen branch-bearing P1 digest occurrences outside the derived SC-405g presence-loss set; membership derives from frozen bytes plus contract rules alone, and the digest occurrence set is named separately from the human set, never folded	Successor member presence and string type are REQUIRED ASSERTIONS on every in-scope occurrence — asserted, never selecting; branch presence discipline is unaffected: present-and-null on a healthy unobserved entry, ABSENT under ruled loss (policed by derived presence-only obligations, not this exclusion); an observed value renders regardless of degraded; this row retires atomically with the SC-405g paragraph and OC-P4-HUMAN-BRANCH-VALUE at the acquisition commit
OC-P4-HUMAN-BRANCH-VALUE	SC-405g temporary exception (semantic-contract.md) + colead fresh-binary measurement 2026-08-25	Human stdout	human_list_all	Exact value bytes inside the git atom only on occurrences whose FROZEN subline carries a git atom and whose triple is not in the contract-derived presence-loss set; a frozen row with no git atom is in neither class and compares under default parity; the human occurrence set is named separately from the digest set, never folded	Exactly one syntactically valid nonempty git atom on every in-scope occurrence; a ruled presence-loss row omits the atom entirely; dropping the atom from an in-scope row, emitting an empty one, or emitting more than one FAILS with the value still open; this row retires atomically with the SC-405g paragraph and OC-P4-BRANCH-VALUE at the acquisition commit
