# Agent-health presentation manifest — phase-4 fixed input (criterion 1)
#
# ============ WHAT THIS IS, AND WHAT IT IS NOT ============
#
# A COMMITMENT, NOT A RATIFICATION. These are the bytes the successor CURRENTLY
# EMITS for the per-agent health cell. They are not ratified layout, and this
# file does not make them so. src/listing.rs states in its own module docs that
# the tabular layout is provisional and unratified, and that layout bytes are a
# seat decision INFORMED BY PARITY EVIDENCE. Phase 4 is that evidence. So a
# commitment about current bytes must never be read as pre-empting a later
# ratification of required bytes -- a reader who finds a pinned byte map with no
# such sentence reads it as ratified layout, and phase 4 has then quietly
# decided the thing it exists to inform.
#
# THE PIN MOVES WITH THE RENDERER. Any change to src/listing.rs affecting the
# locator or the tokens invalidates this manifest. derived_from_blob_sha1 is how
# that is checked, and it is content-addressed: the commit is context, the blob
# is the pin.
#
# ============ SCOPE OF THE MEASUREMENT ============
#
# Domain identification is MEASURED CLEAN over the pinned corpus and the
# controlled harness rosters, FOR THIS RUN ONLY. That is NOT a product-wide row
# grammar, and NOT a guarantee about input nobody has produced yet. An absent
# specimen proves the case did not arise; it never proves the case cannot arise.
# The defects the measurement bounds (D1, D2, D3 below) remain real successor
# defects, filed independently of whether this corpus reaches them.
#
# Every denominator below is non-zero, deliberately: a bound measured over an
# empty population would be vacuous rather than clean, and would report absence
# of evidence as evidence of a property.
#
# ============ PROVENANCE ============
#
# Authored from the intentional renderer grammar and token choices, read from
# the pinned blob via `git show` rather than from a working tree. NEVER
# inferred, repaired, or regenerated from frozen output, successor captures,
# comparator behaviour, obligation results, or a failed comparison. The
# independence boundary is TEMPORAL: this is committed before any
# comparison-time evidence exists.
#
# ============ NOTATION ============
#
# \t means the single byte U+0009 and \n the single byte U+000A, never a
# backslash followed by a letter. Fields in THIS file are themselves separated
# by one U+0009. Lines beginning with # are comments. A row whose key is
# SECTION is a heading, not data.
#
# ============ WHY THE LOCATOR INDEXES FROM THE END ============
#
# A tab inside the agent reference would add fields at the FRONT of the row, so
# a positive index drifts onto the wrong span while a negative one still lands.
# That is robustness by construction rather than by precondition, and it is
# preferred even though D1 measures clean. The locator never inspects the token
# it locates (that would be circular -- it would prove only that a token is
# where a token is), never reads the adjacent state or reason value, never
# consults captured successor output, and never relies on neighbour width.
#
# ============ WHY alive IS PINNED THOUGH UNREACHABLE ============
#
# No product predicate can currently produce alive: SC-017p grants it only on an
# observation that "positively recognizes its agent process as live", and no
# ratified row defines that predicate. This manifest describes the total
# PRESENTATION DOMAIN, not liveness reachability, and criterion 8 feeds all
# three values synthetically through the real presentation boundary.
#
manifest_version	1
manifest_kind	agent-health-presentation
derived_from_commit	620aaf0d9dd3e8a262caa38049247d8299f3227e
derived_from_blob_path	src/listing.rs
derived_from_blob_sha1	1c97375b65605a67fc538f4add1b4cfa6b23345c
emitter_symbol	ae::listing::table
surfaces	list ls
surfaces_view	human
surfaces_note	both spellings parse to one Request::List (src/cli.rs) and render through one emitter; --json is a different surface and not this manifest's subject

# ---- locator ----
locator.kind	field-position-from-end
locator.row_separator	\t=U+0009; rows separated by \n=U+000A
locator.row_termination	every row is TERMINATED by \n, so splitting the stream on \n yields a trailing empty element that is not a row
locator.row_domain_predicate	the line begins with the two bytes 0x20 0x20 AND splitting the line on \n-stripped content by \t yields at least 3 fields
locator.health_field_index	-2
locator.state_field_index	-1
locator.span	the entire field at health_field_index
locator.span_excludes	the two-space indent, both delimiting tabs, the agent reference, the declared state; the emitter writes no padding, colour or layout bytes anywhere in the row

# ---- token map ----
token.alive	alive
token.dead	dead
token.unknown	unknown

# ---- measured bounds ----
measured.corpus_commit	a91be3f3c32c17762c6ce2978c6dc4644d5429fb
measured.corpus_root_digest	802c882bca64453e33efce5351e43b5954ddecc3daed6c2b0b6c8833487b4e12
measured.corpus_files	6862
measured.D1_population	984
measured.D1_sources	meta agent.<slot> values (160) + event actor values (824)
measured.D1_hits_tab_in_reference	0
measured.D2_population	156
measured.D2_sources	session directory names (79) + meta session= values (77)
measured.D2_hits_leading_two_spaces	0
measured.D3_population	163
measured.D3_sources	state event ref values (163)
measured.D3_hits_tab_in_state	0

# ---- known successor defects this manifest is bounded against ----
defect.D1	a tab can reach the agent reference: absorb_roster validates alias and name NON-EMPTY only, with no character class, while AGENTS.md ratifies an agent-name allowlist enforced at every creation boundary
defect.D1_site	src/meta.rs absorb_roster
defect.D2	a session row can impersonate an agent row: the only row-kind discriminator is the two-space indent, and session names come from directory names via to_string_lossy with no allowlist; a name beginning with two spaces that ALSO carries attn: collides on field count too
defect.D2_site	src/listing.rs table (indent) + src/inventory.rs record_at (name)
defect.D3	a tab in a declared state would shift the last field; state is JSON-decoded arbitrary text from an event ref with no character validation
defect.D3_site	src/session.rs declared_state_of
