case_dir	ledger_sha256	ledger_lines	files
h4-c01-pane-live	f06db0731dca80c7571a074fc8a8d9155c5c1c9220097fa2dd2ad7f683ed0f37	14	13
h4-c02-pane-dead	82b89f9ce991305044f3a4c4f5c1a7cfd764c89307614421e233a82e8d5994a7	14	13
h4-c03-xsession-ok	95259ddd432ddac5f9698f43ff0c36956800e4d28c377eff3a44d54d84999a2a	14	13
h4-c04-xsession-noagent	0752429bb6a0b6fa24cfbdbc6bcbbd9252397f3d045a137c7fc218a005c7e1b2	14	13
h4-c05-xsession-nosess	3b9fec8808d3b3fa2d14e43a6a596d06bab2df04db13f5e6e40dcd66755d4096	14	13
h4-c06-at-nocolon	17654ea2946e5673a008e6ecccb42706b453befc50c0afec2609f8899838ca43	14	13
h4-c07-at-empty-sess	f9aeef92dc2914ee2aa8b5f8fce245fba0d28942ee194b5c5049d238fe529ecd	14	13
h4-c08-at-empty-agent	956651bce4053ead07502369d6414e4bc4058c13523991b771d639ca508b00bb	14	13
h4-c09-bare-unique	41d9385059ac678245b9172410f731c26c6f4368adec58e6a7a1a8b33fc75fb2	14	13
h4-c10-bare-ambiguous	0d0b10c5131a5fde375175a454791eb2cf4c9806b9b07c337a8660824c7f9e07	14	13
h4-c11-alias-unique	b01874bf75c8f6b3c5397bcf83efccf73f6e73aa35abf6896015bafe2ff437c0	14	13
h4-c12-alias-ambiguous	c61390a7ab9d4cccc12562d2bb4a7713918c873812767923b11f0b919464da73	14	13
h4-c13-exact-present	afe794a17a90be2407f28711e893a86286998199e6120788113e759a13b6ccee	14	13
h4-c14-name-absent	509b7a3bd4363fc15adbbfd1a6fd71c8f5692e59f80bb72c6d78fc4ee45a5561	14	13
h4-c15-empty-string	b1fc2735e205d746dc28330e1192ec18494f118e368765f7f67d6e334751f6cd	14	13
