# verify from: this directory  (shasum -a 256 -c SHA256SUMS.txt)
# this listing EXCLUDES itself; a file cannot carry its own hash
e5642efa5160dc086b6f9ab6de8e3c35f3841fc6880519a419a9b67b149bbfcf  ./0launch-proj.invocation
4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865  ./0launch-proj.rc
aed2a2288725bbca0235827903a1bcc0b8cd92e73ca7634ba261f937f0bb35f0  ./0launch-proj.stderr
e3d4d94def65cb9358cdd77e3a0f4f86e5c1814eb0567c55ceb628da70bd9aec  ./0launch-proj.stdout
831056f9c81c0aafc8e73ba55d2f53d2b48ab4e3b13cd17d35c29bd1edd1b4d1  ./0launch-projx.invocation
4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865  ./0launch-projx.rc
aed2a2288725bbca0235827903a1bcc0b8cd92e73ca7634ba261f937f0bb35f0  ./0launch-projx.stderr
e3d4d94def65cb9358cdd77e3a0f4f86e5c1814eb0567c55ceb628da70bd9aec  ./0launch-projx.stdout
77989c821fcf9069ff421c45db31144a35fed6bddb1d0a023e8ee3f378a14317  ./1pre.aehome.tsv
cf3be4dbae497fc6a818b092243a868ca7e6ce3a33e1d2e88f4b81e448324d9e  ./2rename.invocation
e3b9c2844b5a5c2677b3a2279db2ec8487491dd9a23d6b22fac153391b3bb63c  ./2rename.rc
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855  ./2rename.stderr
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855  ./2rename.stdout
09b0570e9fd65964d24bf8a02c12a27d9a0c0d91b6949aa1ba60c8bcc09d36fc  ./3post-crash.aehome.tsv
da64647088197d0f2260184a0c4a49c19047bd2461206b32c06390d2cd4488ad  ./4before.clone.tsv
2974664523c913d7274ffc4045c73d8fea09ba3652ec7c024c7312dd193724fc  ./4list-all.invocation
9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa  ./4list-all.rc
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855  ./4list-all.stderr
defb93d936b5f310c29ea6d7d029d13ffec6c0b53774bb95736878f75cbabbbc  ./4list-all.stdout
2852af06a79bc10a510487912a48f477d50bb37e4fb0aeb13dfe1f7453600638  ./4list.invocation
9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa  ./4list.rc
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855  ./4list.stderr
7f5ad5159449959f81eb57179535a484dd5e9ca41b5fc890f2261a6288dec10f  ./4list.stdout
da64647088197d0f2260184a0c4a49c19047bd2461206b32c06390d2cd4488ad  ./5after.clone.tsv
09b0570e9fd65964d24bf8a02c12a27d9a0c0d91b6949aa1ba60c8bcc09d36fc  ./6after.origin.aehome.tsv
348eaebfad8635f10b62fc6d630b4fe78b30642b12cc331ee575da05da19dc84  ./ARM.txt
b1f2b50dacde41281aad28cead1cf5965285327f80d2e98d7958d179481443ca  ./_ae_install_tmux_shim.extracted.sh
09b0570e9fd65964d24bf8a02c12a27d9a0c0d91b6949aa1ba60c8bcc09d36fc  ./b01-b_rn_meta_updated.55982.1.aehome.tsv
637cb1f206039f9ce3eab278123f9229078a7ed9d06cb96bb77419ae4ae79a2a  ./b01-b_rn_meta_updated.55982.1.archive.tsv
75151327e468e012c9d0b58e5a349cfd09e08ac14847145b1edba43cc482e5a7  ./b01-b_rn_meta_updated.55982.1.git.txt
873d4699d8c2afe343b2e96e5a2c4979c0a12197bfd7d4765d04e0b4c5fa5c7a  ./b01-b_rn_meta_updated.55982.1.tmux.txt
b0ce0c16bd1472a8be87d636947bbe929a4b22ba79ca6875a70d66a08966fdae  ./barrier-order.tsv
932061b05feecdeec781d230880cdfec2645e57854132147aa779d40c791bd84  ./consumer-inproc.txt
9404e1e9c1b9a87566bbffd34b20a1c45939d59b831cd656e8a400c7656233a3  ./death-and-descriptors.txt
3b28d812d8d4b0ae66dba5347417029b3912ec27e26c0e5402c9e169c0671c99  ./fake/fake.52875.argv.nul
9b1872b8c1e769d27b5dd9e1c7c37d64dc57c528b36626fc4b19a98c007ef156  ./fake/fake.52875.launch.txt
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855  ./fake/fake.52875.stdin.lines
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855  ./fake/fake.52875.stdin.raw
